2026-04-24 17:15:52.651 | INFO     | app.agent.nodes.recall_value:recall_value:56 - es检索到字段取值: ['dim_region.region_name.华北']
2026-04-24 17:15:52.651 | INFO     | app.agent.nodes.recall_value:recall_value:59 - 合并后的字段取值: ['dim_region.region_name.华南', 'dim_region.region_name.华东', 'dim_region.region_name.西南', 'dim_region.region_name.华北', 'dim_region.region_name.华中', 'fact_order.order_amount.8999.0', 'fact_order.order_amount.6999.0', 'fact_order.order_amount.125.0', 'fact_order.order_amount.899.0', 'fact_order.order_amount.60.0', 'fact_order.order_amount.1399.0', 'fact_order.order_amount.40.0', 'fact_order.order_amount.299.0', 'fact_order.order_amount.200.0', 'fact_order.order_amount.9499.0', 'fact_order.order_amount.35.0', 'fact_order.order_amount.3200.0', 'fact_order.order_amount.599.0', 'fact_order.order_amount.1299.0', 'fact_order.order_amount.5499.0', 'fact_order.order_quantity.1', 'fact_order.order_quantity.5', 'fact_order.order_quantity.12', 'fact_order.order_quantity.8', 'fact_order.order_quantity.2', 'fact_order.order_quantity.10', 'fact_order.order_quantity.3', 'fact_order.order_quantity.6', 'fact_order.order_quantity.25', 'fact_order.order_quantity.4', 'fact_order.order_quantity.7', 'fact_order.order_quantity.9', 'fact_order.order_quantity.20', 'fact_order.order_quantity.15', 'fact_order.order_quantity.18']
2026-04-24 17:15:52.901 | INFO     | app.agent.nodes.recall_metric:recall_metric:42 - 检索到指标信息: ['GMV', 'AOV']
2026-04-24 17:17:37.483 | INFO     | app.agent.nodes.extract_keywords:extract_keywords:34 - 抽取关键词:['销售额', '查询', '华北地区', '查询华北地区的销售额']
2026-04-24 17:17:41.258 | INFO     | app.agent.nodes.recall_column:recall_column:44 - 检索到字段信息: ['fact_order.order_amount', 'fact_order.order_quantity', 'dim_region.region_name', 'dim_region.province', 'dim_region.country', 'fact_order.region_id', 'dim_region.region_id', 'dim_product.category']
2026-04-24 17:17:41.483 | INFO     | app.agent.nodes.recall_value:recall_value:49 - qdrant检索到字段取值: ['fact_order.order_amount.8999.0', 'fact_order.order_amount.6999.0', 'fact_order.order_amount.125.0', 'fact_order.order_amount.899.0', 'fact_order.order_amount.60.0', 'fact_order.order_amount.1399.0', 'fact_order.order_amount.40.0', 'fact_order.order_amount.299.0', 'fact_order.order_amount.200.0', 'fact_order.order_amount.9499.0', 'fact_order.order_amount.35.0', 'fact_order.order_amount.3200.0', 'fact_order.order_amount.599.0', 'fact_order.order_amount.1299.0', 'fact_order.order_amount.5499.0']
2026-04-24 17:17:41.505 | INFO     | app.agent.nodes.recall_value:recall_value:56 - es检索到字段取值: ['dim_region.region_name.华北']
2026-04-24 17:17:41.505 | INFO     | app.agent.nodes.recall_value:recall_value:59 - 合并后的字段取值: ['fact_order.order_amount.8999.0', 'fact_order.order_amount.6999.0', 'fact_order.order_amount.125.0', 'fact_order.order_amount.899.0', 'fact_order.order_amount.60.0', 'fact_order.order_amount.1399.0', 'fact_order.order_amount.40.0', 'fact_order.order_amount.299.0', 'fact_order.order_amount.200.0', 'fact_order.order_amount.9499.0', 'fact_order.order_amount.35.0', 'fact_order.order_amount.3200.0', 'fact_order.order_amount.599.0', 'fact_order.order_amount.1299.0', 'fact_order.order_amount.5499.0', 'dim_region.region_name.华北']
2026-04-24 17:17:42.619 | INFO     | app.agent.nodes.recall_metric:recall_metric:42 - 检索到指标信息: ['GMV', 'AOV']
2026-04-24 18:46:06.393 | INFO     | app.agent.nodes.extract_keywords:extract_keywords:34 - 抽取关键词:['销售额', '查询华北地区的销售额', '华北地区', '查询']
